Thread 2: 13:20:26.073672300, Counter: 76
Thread 1: 13:20:26.190825, Counter: 77
Thread 3: 13:20:26.310384400, Counter: 77
Thread 1: 13:20:26.446360700, Counter: 78
Thread 2: 13:20:26.575708800, Counter: 78
Thread 1: 13:20:26.711452900, Counter: 79
Thread 1: 13:20:26.977037200, Counter: 80
Thread 2: 13:20:27.077677500, Counter: 80
Thread 1: 13:20:27.243016500, Counter: 81
Thread 3: 13:20:27.326090200, Counter: 81
Thread 1: 13:20:27.508947400, Counter: 82
Thread 2: 13:20:27.592033900, Counter: 82
Thread 1: 13:20:27.775127800, Counter: 83
Thread 1: 13:20:28.040805500, Counter: 84
Thread 2: 13:20:28.106384400, Counter: 84
Thread 1: 13:20:28.307067900, Counter: 85
Thread 3: 13:20:28.340090100, Counter: 85
Thread 1: 13:20:28.572722100, Counter: 86
Thread 2: 13:20:28.622252900, Counter: 86
Thread 1: 13:20:28.836410700, Counter: 87
Thread 1: 13:20:29.088125800, Counter: 88
Thread 2: 13:20:29.137990500, Counter: 88
Thread 1: 13:20:29.354479100, Counter: 89
Thread 3: 13:20:29.355451300, Counter: 89
Thread 1: 13:20:29.610633700, Counter: 90
Thread 2: 13:20:29.652194800, Counter: 90
Thread 1: 13:20:29.870070700, Counter: 91
Thread 1: 13:20:30.135334300, Counter: 92
Thread 2: 13:20:30.168555, Counter: 92
Thread 3: 13:20:30.368051100, Counter: 92
Thread 1: 13:20:30.400863800, Counter: 93
Thread 1: 13:20:30.665428500, Counter: 94
Thread 2: 13:20:30.675176400, Counter: 94
Thread 1: 13:20:30.923155500, Counter: 95
Thread 1: 13:20:31.179468800, Counter: 96
Thread 2: 13:20:31.180478100, Counter: 96
Thread 3: 13:20:31.370826400, Counter: 96
Thread 1: 13:20:31.434820300, Counter: 97
Thread 2: 13:20:31.682463700, Counter: 97
Thread 1: 13:20:31.697859900, Counter: 98
Thread 1: 13:20:31.955780800, Counter: 99
Thread 2: 13:20:32.196514900, Counter: 99
Thread 1: 13:20:32.213131900, Counter: 100
Thread 3: 13:20:32.378853600, Counter: 100
Thread 1: 13:20:32.467594, Counter: 101
Thread 2: 13:20:32.711837, Counter: 101
Thread 1: 13:20:32.728302, Counter: 102
Thread 1: 13:20:32.980334, Counter: 103
Thread 2: 13:20:33.213843200, Counter: 103
Thread 1: 13:20:33.237908400, Counter: 104
Thread 3: 13:20:33.381826300, Counter: 104
Thread 1: 13:20:33.492643, Counter: 105
Thread 2: 13:20:33.725755600, Counter: 105
Thread 1: 13:20:33.758997900, Counter: 106
Thread 1: 13:20:34.010427, Counter: 107
Thread 2: 13:20:34.229181200, Counter: 107
Thread 1: 13:20:34.265173, Counter: 108
Thread 3: 13:20:34.392312300, Counter: 108
Thread 1: 13:20:34.527951900, Counter: 109
Thread 2: 13:20:34.731055500, Counter: 109
Thread 1: 13:20:34.793555100, Counter: 110
Thread 1: 13:20:35.052687200, Counter: 111
Thread 2: 13:20:35.240186900, Counter: 111
Thread 1: 13:20:35.318316900, Counter: 112
Thread 3: 13:20:35.396437100, Counter: 112
Thread 1: 13:20:35.583863200, Counter: 113
Thread 2: 13:20:35.742641800, Counter: 113
Thread 1: 13:20:35.836344400, Counter: 114
Thread 1: 13:20:36.093723300, Counter: 115
Thread 2: 13:20:36.243046300, Counter: 115
Thread 1: 13:20:36.352375, Counter: 116
Thread 3: 13:20:36.399313400, Counter: 116
Thread 1: 13:20:36.608660200, Counter: 117
Thread 2: 13:20:36.747330100, Counter: 117
Thread 1: 13:20:36.861490100, Counter: 118
Thread 1: 13:20:37.116636400, Counter: 119
Thread 2: 13:20:37.249385100, Counter: 119
Thread 1: 13:20:37.382724800, Counter: 120
Thread 3: 13:20:37.415937800, Counter: 120
Thread 1: 13:20:37.648916400, Counter: 121
Thread 2: 13:20:37.764986900, Counter: 121
Thread 1: 13:20:37.914616, Counter: 122
Thread 1: 13:20:38.180743700, Counter: 123
Thread 2: 13:20:38.280286800, Counter: 123
Thread 3: 13:20:38.429880200, Counter: 123
Thread 1: 13:20:38.446504300, Counter: 124
Thread 1: 13:20:38.712464300, Counter: 125
Thread 2: 13:20:38.795580200, Counter: 125
Thread 1: 13:20:38.978434800, Counter: 126
Thread 1: 13:20:39.244379900, Counter: 127
Thread 2: 13:20:39.310867600, Counter: 127
Thread 3: 13:20:39.443854, Counter: 127
Thread 1: 13:20:39.510338100, Counter: 128
Thread 1: 13:20:39.776290900, Counter: 129
Thread 2: 13:20:39.826676800, Counter: 129
Thread 1: 13:20:40.028494400, Counter: 130
Thread 1: 13:20:40.290773400, Counter: 131
Thread 2: 13:20:40.341472600, Counter: 131
Thread 3: 13:20:40.457832700, Counter: 131
Thread 1: 13:20:40.557582900, Counter: 132
Thread 1: 13:20:40.823526500, Counter: 133
Thread 2: 13:20:40.856753200, Counter: 133
Thread 1: 13:20:41.089486400, Counter: 134
Thread 1: 13:20:41.355393800, Counter: 135
Thread 2: 13:20:41.372062100, Counter: 135
Thread 3: 13:20:41.471803400, Counter: 135
Thread 1: 13:20:41.621412200, Counter: 136
Thread 2: 13:20:41.887552200, Counter: 137
Thread 1: 13:20:41.888487, Counter: 137
Thread 1: 13:20:42.153319100, Counter: 138
Thread 2: 13:20:42.402660, Counter: 138
Thread 1: 13:20:42.419287700, Counter: 139
Thread 3: 13:20:42.485775600, Counter: 139
Thread 1: 13:20:42.685246400, Counter: 140
Thread 2: 13:20:42.917953100, Counter: 140
Thread 1: 13:20:42.951350800, Counter: 141
